# Created by CS-Studio Data Browser
# 
# Start Time : 2026-05-02 17:17:10.523
# End Time   : 2026-05-02 17:47:10.524
# Source     : Plot
# Format     : Default
# 
# Data is in TAB-delimited columns, for import into e.g. Excel.
# The 'Time' column contains values like '2018-02-04 21:58:47.065'.
# In your spreadsheet program, a custom column format like
#     'yyyy-mm-d h:mm:ss.000'
# might be required to show the full timestamp detail.

# Channel: TUNEZRP:measX
# Name   : dep: TUNEZRP:measX
# Archives:
# 
# Channel: TUNEZRP:measY
# Name   : dep: TUNEZRP:measY
# Archives:
# 
# Channel: TUNEZRP:measZ
# Name   : dep: TUNEZRP:measZ
# Archives:
# 
# Channel: MCLKHGP:rdFrq499
# Name   : dep: MCLKHGP:rdFrq499
# Archives:
# 
# Channel: MCLKHGP:setFrq499
# Name   : dep: MCLKHGP:setFrq499
# Archives:
# 
# Channel: PAHRP:NRVD:rdVoltCav
# Name   : dep: PAHRP:NRVD:rdVoltCav
# Archives:
# 
# Channel: PAHRP:setVoltCav
# Name   : dep: PAHRP:setVoltCav
# Archives:
# 
# Channel: Q1P1L2RP:setCur
# Name   : dep: Q1P1L2RP:setCur
# Archives:
# 
# Channel: CUM1ZK3RP:rdCur
# Name   : dep: CUM1ZK3RP:rdCur
# Archives:
# 
# Channel: CUM1ZK3RP:rdLt100
# Name   : dep: CUM1ZK3RP:rdLt100
# Archives:
# 
# Channel: TUNEZRP:measX
# Name   : νx absolute
# Archives:
# 
# Channel: TUNEZRP:measY
# Name   : νy absolute
# Archives:
# 
# Channel: TUNEZRP:measZ
# Name   : νs absolute
# Archives:
# 
# Channel: mtune_x
# Name   : 0.8 + 1000·(νx−0.1779)
# 
# Channel: mtune_y
# Name   : 2.0 + 1000·(νy−0.2200)
# 
# Channel: mtune_s
# Name   : 3.2 + 1000·(νs−νs_ref=0)
# 
# Channel: MCLKHGP:rdFrq499
# Name   : RF freq readback
# Archives:
# 
# Channel: MCLKHGP:setFrq499
# Name   : RF freq setpoint
# Archives:
# 
# Channel: PAHRP:NRVD:rdVoltCav
# Name   : cavity voltage readback
# Archives:
# 
# Channel: PAHRP:setVoltCav
# Name   : cavity voltage setpoint
# Archives:
# 
# Channel: Q1P1L2RP:setCur
# Name   : Q1 current
# Archives:
# 
# Channel: CUM1ZK3RP:rdCur
# Name   : beam current
# Archives:
# 

# Time	TUNEZRP:measX Value	TUNEZRP:measY Value	TUNEZRP:measZ Value	MCLKHGP:rdFrq499 Value	MCLKHGP:setFrq499 Value	PAHRP:NRVD:rdVoltCav Value	PAHRP:setVoltCav Value	Q1P1L2RP:setCur Value	CUM1ZK3RP:rdCur Value	CUM1ZK3RP:rdLt100 Value	TUNEZRP:measX Value	TUNEZRP:measY Value	TUNEZRP:measZ Value	mtune_x Value	mtune_y Value	mtune_s Value	MCLKHGP:rdFrq499 Value	MCLKHGP:setFrq499 Value	PAHRP:NRVD:rdVoltCav Value	PAHRP:setVoltCav Value	Q1P1L2RP:setCur Value	CUM1ZK3RP:rdCur Value
2026-05-02 17:28:23.611	1094.78	1569.40	58.01	687.462	687.752	108.90	100.00	21.42313	0.049	0.752	1094.78	1569.40	58.01	1,094,603.9	1,569,180	58,015.2	687.462	687.752	108.90	100.00	21.42313	0.049
2026-05-02 17:28:24.397	1029.84	1569.40	58.01	687.462	687.752	108.90	100.00	21.42313	0.049	0.752	1029.84	1569.40	58.01	1,029,661.9	1,569,180	58,015.2	687.462	687.752	108.90	100.00	21.42313	0.049
2026-05-02 17:28:24.397	1029.84	1477.40	58.01	687.462	687.752	108.90	100.00	21.42313	0.049	0.752	1029.84	1477.40	58.01	1,029,661.9	1,477,178	58,015.2	687.462	687.752	108.90	100.00	21.42313	0.049
2026-05-02 17:28:24.397	1029.84	1477.40	57.84	687.462	687.752	108.90	100.00	21.42313	0.049	0.752	1029.84	1477.40	57.84	1,029,661.9	1,477,178	57,847.2	687.462	687.752	108.90	100.00	21.42313	0.049
2026-05-02 17:28:24.677	1029.84	1477.40	57.84	687.462	687.752	108.90	100.00	21.42313	0.049	0.715	1029.84	1477.40	57.84	1,029,661.9	1,477,178	57,847.2	687.462	687.752	108.90	100.00	21.42313	0.049
2026-05-02 17:28:24.678	1029.84	1477.40	57.84	687.462	687.752	108.90	100.00	21.42313	0.049	0.715	1029.84	1477.40	57.84	1,029,661.9	1,477,178	57,847.2	687.462	687.752	108.90	100.00	21.42313	0.049
2026-05-02 17:28:25.379	1147.12	1477.40	57.84	687.462	687.752	108.90	100.00	21.42313	0.049	0.715	1147.12	1477.40	57.84	1,146,946.9	1,477,178	57,847.2	687.462	687.752	108.90	100.00	21.42313	0.049
2026-05-02 17:28:25.379	1147.12	1380.20	57.84	687.462	687.752	108.90	100.00	21.42313	0.049	0.715	1147.12	1380.20	57.84	1,146,946.9	1,379,983	57,847.2	687.462	687.752	108.90	100.00	21.42313	0.049
2026-05-02 17:28:25.379	1147.12	1380.20	59.91	687.462	687.752	108.90	100.00	21.42313	0.049	0.715	1147.12	1380.20	59.91	1,146,946.9	1,379,983	59,916.2	687.462	687.752	108.90	100.00	21.42313	0.049
2026-05-02 17:28:25.722	1147.12	1380.20	59.91	687.462	687.752	108.90	100.00	21.42313	0.049	0.744	1147.12	1380.20	59.91	1,146,946.9	1,379,983	59,916.2	687.462	687.752	108.90	100.00	21.42313	0.049
2026-05-02 17:28:25.723	1147.12	1380.20	59.91	687.462	687.752	108.90	100.00	21.42313	0.049	0.744	1147.12	1380.20	59.91	1,146,946.9	1,379,983	59,916.2	687.462	687.752	108.90	100.00	21.42313	0.049
2026-05-02 17:28:25.839	1147.12	1380.20	59.91	687.462	687.752	109.00	100.00	21.42313	0.049	0.744	1147.12	1380.20	59.91	1,146,946.9	1,379,983	59,916.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:26.389	1041.88	1380.20	59.91	687.462	687.752	109.00	100.00	21.42313	0.049	0.744	1041.88	1380.20	59.91	1,041,707.9	1,379,983	59,916.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:26.389	1041.88	1334.64	59.91	687.462	687.752	109.00	100.00	21.42313	0.049	0.744	1041.88	1334.64	59.91	1,041,707.9	1,334,420	59,916.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:26.389	1041.88	1334.64	60.50	687.462	687.752	109.00	100.00	21.42313	0.049	0.744	1041.88	1334.64	60.50	1,041,707.9	1,334,420	60,504.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:26.800	1041.88	1334.64	60.50	687.462	687.752	109.00	100.00	21.42313	0.049	0.865	1041.88	1334.64	60.50	1,041,707.9	1,334,420	60,504.2	687.462	687.752	109.00	100.00	21.42313	0.049
2026-05-02 17:28:26.800	1041.88	1334.64	60.50	687.462	687.752	109.00	100.00	21.42313	0.050	0.865	1041.88	1334.64	60.50	1,041,707.9	1,334,420	60,504.2	687.462	687.752	109.00	100.00	21.42313	0.050
2026-05-02 17:28:26.839	1041.88	1334.64	60.50	687.462	687.752	108.90	100.00	21.42313	0.050	0.865	1041.88	1334.64	60.50	1,041,707.9	1,334,420	60,504.2	687.462	687.752	108.90	100.00	21.42313	0.050
2026-05-02 17:28:27.382	1049.54	1334.64	60.50	687.462	687.752	108.90	100.00	21.42313	0.050	0.865	1049.54	1334.64	60.50	1,049,357.9	1,334,420	60,504.2	687.462	687.752	108.90	100.00	21.42313	0.050
2026-05-02 17:28:27.382	1049.54	1343.08	60.50	687.462	687.752	108.90	100.00	21.42313	0.050	0.865	1049.54	1343.08	60.50	1,049,357.9	1,342,864	60,504.2	687.462	687.752	108.90	100.00	21.42313	0.050
